"Title","Average_2014","Total_2014","Average_2015","Total_2015","Average_2016","Total_2016","Average_2017","Total_2017","Average_2018","Total_2018","Average_2019","Total_2019","Average_2020","Total_2020"
"PSYCHOLOGIST","$1,226.43","$19,623","$7,328.88","$102,604","$9,917.91","$188,440","$13,340","$240,115","$10,474.59","$167,594","$7,270.91","$116,335","$5,228.11","$109,790"
"PSYCHOLOGIST IN TRAIN - REG SUB","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"PSYCHOLOGIST IN TRAINING","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PUBLIC ADMINISTRATOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"PUBLIC ADVOCATE","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,NA,NA
"PUBLIC HEALTH ADVISER","$388.01","$79,541","$573.69","$107,854","$266.01","$50,808","$393","$73,461","$373.45","$70,582","$631.56","$121,260","$1,856.82","$352,796"
"PUBLIC HEALTH ASSISTANT","$410.85","$13,147","$121.70","$4,868","$177.44","$6,565","$633","$26,596","$381.74","$18,705","$773.59","$37,906","$705.27","$37,379"
"PUBLIC HEALTH EDUCATOR","$325.67","$12,701","$49.57","$1,685","$16.21","$551","$298","$23,209","$738.93","$60,593","$669.63","$52,231","$1,331.86","$94,562"
"PUBLIC HEALTH EMERGENCY PREPAREDNESS SPECIALIST",NA,NA,NA,NA,NA,NA,"$0","$0","$3,830.99","$61,296","$328.12","$5,906","$12,341.42","$320,877"
"PUBLIC HEALTH EPIDEMIOLOGIST","$401.32","$15,652","$791.13","$29,272","$394.89","$12,242","$318","$11,775","$7.36","$258","$685.97","$24,009","$4,772.69","$157,499"
"PUBLIC HEALTH NURSE","$335.27","$21,457","$428.26","$24,839","$431.56","$25,030","$383","$25,675","$754.85","$51,330","$1,232.41","$86,268","$2,065.80","$134,277"
"PUBLIC HEALTH SANITARIAN","$2,971.15","$514,009","$2,633.13","$450,265","$3,589.36","$635,317","$2,531","$475,848","$2,052.75","$418,761","$1,633.40","$365,882","$1,238.38","$266,251"
"PUBLIC HEALTH/PREVENTIVE MEDICINE RESIDENT",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"PUBLIC INFORMATION OFFICER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"PUBLIC RECORDS AIDE","$1,624.25","$120,195","$2,193.24","$157,913","$2,290.48","$146,591","$1,589","$88,985","$1,246.01","$73,515","$1,273.84","$82,800","$957.01","$65,077"
"PUBLIC RECORDS OFFICER","$289.27","$4,050","$256.48","$5,386","$202.19","$4,650","$339","$7,790","$208.95","$3,761","$415.77","$9,147","$1,541.75","$26,210"
"PUBLIC RELATIONS ADVISER","$0.00","$0","$0.00","$0","$94.64","$95","$1,086","$1,086",NA,NA,"$0.00","$0","$0.00","$0"
"PUBLIC RELATIONS OFFICER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"PUBLISHING ASSOCIATE","$219.04","$219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PUPPETEER","$0.00","$0","$0.00","$0","$27.03","$54","$0","$0","$35.53","$107","$0.00","$0","$534.91","$1,605"
"PURCHASING AGENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$182.04","$2,002","$33.63","$336"
"QUALITY ASSURANCE SPECIALIST","$1,520.40","$62,336","$2,246.72","$85,375","$2,436.42","$90,147","$3,030","$103,034","$2,996.49","$110,870","$2,627.17","$107,714","$3,428.70","$157,720"
"QUALITY ASSURANCE SPECIALIST TRAINEE",NA,NA,NA,NA,NA,NA,NA,NA,"$4,431.99","$8,864","$0.00","$0","$434.71","$9,998"
"RACKETS INVESTIGATOR","$6,254.08","$206,385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RADIO AND TELEVISION OPERATOR",NA,NA,"$1,796.15","$39,515","$2,286.98","$48,027","$3,073","$70,675","$3,149.27","$75,583","$2,916.97","$58,339","$3,208.89","$57,760"
"RADIO AND TEVEVISION OPERATOR","$1,106.46","$13,278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REAL PROPERTY ASSISTANT",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0",NA,NA
"REAL PROPERTY MANAGER","$83.65","$4,684","$343.76","$12,032","$260.26","$6,506","$270","$5,410","$41.30","$743","$430.11","$9,032","$313.65","$6,273"
"RECREATION DIRECTOR","$699.83","$27,993","$1,310.37","$65,518","$2,080.30","$89,453","$1,712","$73,612","$1,648.51","$75,831","$1,982.03","$73,335","$1,365.76","$53,265"
"RECREATION SPECIALIST","$908.22","$56,309","$847.18","$40,665","$924.28","$71,170","$1,073","$88,014","$1,206.81","$89,304","$1,425.99","$95,541","$1,461.10","$71,594"
"RECREATION SUPERVISOR","$1,354.18","$93,438","$3,056.13","$232,266","$2,791.85","$214,973","$2,901","$246,609","$3,387.37","$291,314","$3,327.61","$299,485","$6,540.64","$739,093"
"REGIONAL DIRECTOR MENTAL HEALTH MENTAL RETARD & ALC SERVICE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"REGIONAL INSTRUCTIONAL SUPERINTENDENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0",NA,NA,NA,NA,NA,NA
"REPAIR CREW CHIEF","$611.62","$3,058","$1,046.87","$3,141","$889.03","$4,445","$1,282","$6,412","$1,297.46","$5,190","$3,535.33","$14,141","$1,323.64","$7,942"
"REPAIR CREW WORKER",NA,NA,NA,NA,NA,NA,NA,NA,"$45.92","$46",NA,NA,NA,NA
"REPAIR SHOP MANAGER",NA,NA,"$11,608.01","$11,608","$22,011.71","$22,012","$40,574","$40,574","$35,480.30","$35,480","$41,722.27","$41,722","$35,661.02","$35,661"
"REPORTER/ STENOGRAPHER","$564.30","$43,451","$541.29","$40,597","$788.11","$57,532","$902","$71,253","$538.97","$40,423","$500.54","$42,546","$118.52","$10,311"
"RESEARCH & LIAISON COORDINATOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"RESEARCH AND LIAISON COORDINATOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"RESEARCH AND LIAISON SPECIALIST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"RESEARCH ASSISTANT","$725.79","$55,886","$457.23","$29,720","$587.87","$36,448","$1,062","$64,808","$871.92","$48,828","$849.31","$44,164","$393.28","$17,698"
"RESEARCH LIAISON ADN GOVERNMENTAL COORDINATOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"RESEARCH PROJECTS COORD","$52.85","$2,748","$0.89","$76","$33.65","$3,870","$45","$6,138","$9.23","$1,302","$18.79","$3,007","$0.69","$126"
"RESEARCH PROJECTS COORDINATOR","$3,911.59","$19,558","$3,793.26","$15,173","$1,523.59","$12,189","$1,027","$10,270","$221.84","$5,546","$204.90","$4,098","$849.89","$28,046"
"RESIDENT BUILDING SUPERINTENDENT","$17,679.16","$3,341,361","$6,854.77","$1,343,536","$8,837.28","$1,732,106","$9,583","$1,801,514","$10,014.33","$1,812,594","$12,068.93","$2,208,614","$19,385.10","$3,586,243"
"SAFETY SPECIALIST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$6,530.76","$6,531"
"SANITATION COMPLIANCE AGENT","$0.00","$0","$31.14","$280","$2.69","$22","$27","$213","$32.99","$231","$66.34","$464","$40.79","$245"
"SANITATION ENFORCEMENT AGENT","$3,038.42","$401,071","$2,951.72","$404,386","$2,105.71","$313,751","$1,759","$244,456","$2,160.77","$276,578","$1,460.53","$166,500","$1,406.02","$154,663"
"SANITATION WORKER","$15,405.59","$88,659,183","$15,222.47","$89,036,206","$12,227.03","$71,846,028","$14,974","$88,869,635","$18,239.13","$108,541,078","$13,820.53","$85,797,879","$15,521.47","$94,618,897"
"SCHOOL-NEIGHBORHOOD WORKER","$310.57","$932","$1.18","$4","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SCHOOL BUSINESS MANAGER","$1,675.55","$196,039","$2,357.64","$282,917","$2,132.91","$260,215","$2,428","$284,050","$2,233.03","$267,963","$2,586.89","$300,079","$2,070.41","$229,815"
"SCHOOL COMPUTER TECHNOLOGY SPECIALIST","$1,643.91","$228,504","$1,760.13","$292,181","$1,515.98","$278,941","$1,751","$341,535","$1,327.59","$262,862","$1,527.13","$271,829","$1,429.17","$257,251"
"SCHOOL CROSSING GUARD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$14.00","$1,134","$235.22","$19,052"
"SCHOOL EQUIPMENT MAINTAINER","$0.00","$0","$1.76","$4","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SCHOOL FOOD SERVICE MANAGER","$547.54","$170,284","$555.39","$178,834","$701.34","$227,234","$699","$217,494","$770.24","$239,543","$632.61","$198,641","$562.09","$166,378"
"SCHOOL LUNCH ASSISTANT","$1,733.76","$69,350","$2,154.54","$99,109","$1,740.39","$81,798","$1,962","$102,028","$2,543.50","$132,262","$1,987.94","$103,373","$1,431.71","$68,722"
"SCHOOL LUNCH ASSISTANT COOK","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SCHOOL LUNCH LOADER AND HANDLER","$1,743.02","$48,805","$2,769.82","$74,785","$3,827.08","$107,158","$5,810","$156,881","$5,068.35","$141,914","$5,338.81","$149,487","$5,953.08","$160,733"
"SCHOOL MEDICAL INSPECTOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SCHOOL MEDICAL INSPECTOR - REG SUB","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SCHOOL PLANT MANAGER","$6.25","$256","$0.00","$0","$3.94","$162","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SCHOOL PSYCHIATRIST","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SCHOOL PSYCHOLGIST","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SCHOOL PSYCHOLOGIST - REG SUB","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SCHOOL SAFETY AGENT","$8,519.98","$34,557,053","$9,609.33","$38,379,655","$9,824.41","$38,472,409","$10,802","$42,655,751","$10,437.47","$42,365,693","$10,683.95","$43,750,760","$8,943.02","$35,781,026"
"SCHOOL SECRETARY","$0.00","$0","-$0.03","-$78","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SCHOOL SECRETARY-REG SUB",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SCHOOL SOCIAL WORKER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SCHOOL SOCIAL WORKER - REG SUB","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SCIENTIST","$1,626.43","$118,730","$1,932.58","$125,618","$2,212.48","$148,236","$1,794","$186,605","$1,311.47","$131,147","$1,789.25","$169,979","$3,277.83","$334,338"
"SECOND DEPUTY COMPTROLLER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY","$640.70","$590,083","$670.08","$574,261","$814.89","$648,649","$880","$637,118","$799.69","$522,196","$851.39","$524,456","$875.95","$503,669"
"SECRETARY OF COMM","$360.83","$1,804","$2,630.88","$13,154","$2,330.13","$11,651","$1,559","$7,794","$99.74","$399","$682.63","$3,413","$18.18","$73"
"SECRETARY OF COMMISSIONER",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$18,285.44","$18,285","$43,193.16","$43,193"
"SECRETARY OF THE AUTHORITY","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,NA,NA
"SECRETARY OF THE COMMISSION",NA,NA,NA,NA,"$0.00","$0","$4,098","$4,098","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY OF THE DEPARTMENT","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,"$0.00","$0",NA,NA,"$0.00","$0"
"SECRETARY OF THE TAX COMMISSION","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO ASSISTANT TO PRESIDENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO COMMISSIONER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0",NA,NA,NA,NA,NA,NA
"SECRETARY TO COMMISSIONER OF BLDGS","$595.47","$595","$17.96","$18","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"SECRETARY TO COMMUNITY SCHOOL BOARD","$6.02","$169","$34.00","$816","$104.17","$1,875","$174","$2,433","$94.34","$1,226","$237.74","$2,615","$33.74","$337"
"SECRETARY TO CONFLICTS OF INTEREST BOARD","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO DEPARTMENT",NA,NA,"$0.00","$0","$0.00","$0","$14,213","$14,213","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO DEPUTY COMMISSIONER","$0.00","$0","$376.65","$753","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO DEPUTY EXECUTIVE DIRECTOR","$106.07","$530","$0.00","$0","$50.95","$255","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO DISTRICT ATTORNEY","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SECRETARY TO EXECUTIVE DIRECTOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"SECRETARY TO MEMBER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO ONE DEPUTY COMMISSIONER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$1,716.70","$1,717","$0.00","$0"
"SECRETARY TO PUBLIC ADMINISTRATOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO THE BOARD OF CORRECTION",NA,NA,NA,NA,NA,NA,"$0","$0",NA,NA,NA,NA,"$0.00","$0"
"SECRETARY TO THE CHAIR","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SECRETARY TO THE CHAIR, LANDMARKS PRESERVATION COMMISSION","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO THE CHAIRMAN",NA,NA,"$0.00","$0",NA,NA,NA,NA,"$0.00","$0",NA,NA,"$0.00","$0"
"SECRETARY TO THE CHAIRPERSON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"SECRETARY TO THE CHANCELLOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO THE CHIEF ACTUARY",NA,NA,NA,NA,NA,NA,NA,NA,"$28.67","$29","$71.38","$71","$641.10","$641"
"SECRETARY TO THE COMMISSIONER","$2,393.68","$14,362","$4,998.70","$19,995","$7,516.16","$22,548","$8,126","$32,504","$7,865.48","$39,327","$7,879.38","$31,518","$1,408.16","$2,816"
"SECRETARY TO THE COMMISSIONER OF BLDGS",NA,NA,NA,NA,NA,NA,"$350","$350","$944.78","$945","$10.37","$10","$0.00","$0"
"SECRETARY TO THE COMMISSIONER OF CORRECTION",NA,NA,NA,NA,NA,NA,NA,NA,"$8,077.93","$8,078","$11,791.40","$11,791","$8,514.83","$8,515"
"SECRETARY TO THE COMMISSIONER OF LABOR RELATIONS",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO THE CORPORATION COUNSEL","$0.00","$0","$1.27","$1","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO THE COUNSEL TO THE CHANCELLOR","$0.00","$0","$0.00","$0","$0.00","$0","$126","$252","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO THE DEPARTMENT",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0",NA,NA,"$0.00","$0"
"SECRETARY TO THE DEPUTY BORO PRESIDENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO THE DEPUTY CHAIR",NA,NA,"$0.00","$0","$0.00","$0","$0","$0",NA,NA,NA,NA,NA,NA
"SECRETARY TO THE DEPUTY CHANCELLOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO THE DEPUTY COMMISSIONER","$11,907.66","$11,908","$1,864.49","$5,593","$2,967.99","$17,808","$426","$2,985","$2,114.53","$10,573","$3,062.89","$21,440","$4,791.74","$23,959"
"SECRETARY TO THE EXCUTIVE ASSISTANT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO THE EXEC DEPUTY COMMISSIONER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$2,215.35","$4,431","$4,447.23","$8,894"
"SECRETARY TO THE EXECUTIVE DIRECTOR","$1,029.23","$2,058","$668.83","$1,338","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO THE FIRE COMMISSIONER",NA,NA,"$36,218.38","$36,218","$40,134.77","$40,135","$51,814","$51,814","$49,947.10","$49,947","$47,944.62","$47,945","$35,898.41","$35,898"
"SECRETARY TO THE FIRST ASSISTANT CORPORATION COUNSEL","$0.00","$0","$1.54","$2","$118.29","$118","$210","$210","$39.79","$40",NA,NA,NA,NA
"SECRETARY TO THE FIRST DEPUTY COMMISSIONER","$0.00","$0","$0.00","$0","$1,695.82","$3,392","$2,666","$5,332","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO THE FIRST DEPUTY COMMISSIONER-PD",NA,NA,"$24,149.21","$24,149","$23,986.39","$23,986","$25,968","$25,968","$20,007.67","$20,008","$24,937.19","$24,937","$21,221.63","$21,222"
"SECRETARY TO THE HUMAN RESOURCES ADMINISTRATOR",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO THE PRESIDENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SECRETARY TO THE SPECIAL COMMISSIONER INVESTIGATION NYC SCH","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SECY TO THE DIRECTOR OF COLLECTIVE BARGAINING","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SENIOR ACCOUNTANT INVESTIGATOR","$226.23","$1,810","$490.79","$4,417","$722.52","$3,613","$2,693","$13,467","$3,917.46","$31,340","$1,399.27","$11,194","$1,581.70","$12,654"
"SENIOR ADMINISRATOR","$14,525.05","$14,525","$4,348.72","$4,349","$11,164.37","$11,164","$9,842","$9,842","$13,181.79","$52,727","$15,756.38","$63,026","$23,785.80","$285,430"
"SENIOR ADMINISTRATIVE ASSISTANT",NA,NA,NA,NA,NA,NA,NA,NA,"$13,942.44","$139,424","$28,149.08","$281,491","$19,188.02","$191,880"
"SENIOR ADVISER TO THE COMMISSIONER","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"SENIOR ADVISOR TO THE MAYOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"SENIOR AUTOMOTIVE SPECIALIST","$13,093.22","$13,093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SENIOR BAKER","$1,099.82","$4,399","$424.83","$1,699","$531.62","$2,126","$760","$3,039","$620.34","$2,481","$439.24","$1,318","$433.62","$1,734"
"SENIOR COLLEGE LAB TECH","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SENIOR COMPUTER PROGRAMMER","$29,566.25","$206,964","$35,687.36","$249,812","$35,782.56","$214,695","$25,825","$180,776","$32,494.23","$194,965","$34,146.54","$239,026","$38,748.78","$271,241"
"SENIOR CONSULTANT","$0.00","$0","$0.66","$10","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$219.55","$4,171"
"SENIOR COOK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$10,984.06","$230,665",NA,NA
"SENIOR CUSTODIAL SUPERVISOR","$7,173.31","$43,040","$9,813.52","$58,881","$10,391.89","$62,351","$14,512","$87,074","$8,830.87","$61,816","$7,104.50","$42,627","$3,463.19","$24,242"
"SENIOR DETECTIVE INVESTIGATOR","$963.11","$6,742","$2,977.74","$17,866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SENIOR ESTIMATOR","$3,062.89","$101,075","$2,510.69","$90,385","$2,129.42","$87,306","$2,293","$77,971","$2,060.36","$59,751","$1,201.44","$25,230","$1,162.16","$24,405"
"SENIOR EXECUTIVE SECRETARY","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SENIOR GENERAL DEPUTY MANAGER",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0",NA,NA
"SENIOR INSTITUTIONAL TRADES INSTRUCTOR",NA,NA,"$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SENIOR INTERGROUP RELATIONS OFFICER",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SENIOR IT ARCHITECT",NA,NA,NA,NA,NA,NA,"$0","$0","$191.27","$1,148","$888.48","$5,331","$1,435.04","$21,526"
"SENIOR LEGISLATIVE FINANCIAL ANALYST","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SENIOR LEGISLATIVE INVESTIGATOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"SENIOR LEGISLATIVE POLICY ANALYST","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SENIOR MANAGEMENT CONSULTANT",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SENIOR MENTAL HEALTH WORKER",NA,NA,"$0.00","$0","$0.00","$0","$15","$102","$33.10","$232","$0.00","$0","$0.00","$0"
"SENIOR OCCUPATIONAL THERAPIST","$214.81","$196,554",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SENIOR OFFICE APPLIANCE MAINTAINER","$3,913.62","$3,914","$3,977.48","$3,977","$1,085.01","$1,085","$2,274","$2,274","$237.20","$237","$0.00","$0","$0.00","$0"
"SENIOR PHOTOGRAPHER","$5,329.48","$74,613","$3,410.82","$47,751","$4,523.23","$67,848","$6,376","$108,388","$5,939.68","$106,914","$5,708.68","$97,048","$6,033.59","$120,672"
"SENIOR PHYSICAL THERAPIST","$80.65","$35,324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SENIOR POLICE ADMINISTRATIVE AIDE","$1,324.87","$993,652","$1,463.07","$1,116,322","$1,644.69","$1,263,120","$2,130","$1,616,309","$2,118.63","$1,608,039","$2,272.01","$1,679,019","$2,211.70","$1,472,995"
"SENIOR POLICY ADVISOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"SENIOR POLICY ADVISOR TO THE MAYOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"Senior Project Planner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"SENIOR RACKETS INVESTIGATOR","$11,086.83","$55,434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SENIOR RACKETS INVESTIGATOR - START >4-24-08 NO ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$750.14","$1,500"
"SENIOR REPAIR CREW CHIEF","$7,477.01","$22,431","$17,581.78","$52,745","$26,715.13","$80,145","$39,734","$119,202","$27,134.73","$54,269","$41,750.85","$125,253","$37,482.15","$112,446"
"SENIOR SALVAGE APPRAISER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SENIOR SCHOOL-NEIGHBORHOOD WORKER","$2,158.65","$6,476","$5,849.85","$11,700","$4,021.42","$8,043","$562","$1,124","$1,388.03","$2,776","$1,538.96","$3,078","$1,465.82","$2,932"
"SENIOR SCHOOL LUNCH AIDE","$0.00","$0","$1.63","$2","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SENIOR SECRETARY","$248.08","$1,488","$43.40","$217","$79.72","$319","$85","$342","$100.01","$400","$53.34","$213","$65.90","$264"
"SENIOR SERVICE INSPECTOR","$3,125.90","$37,511","$5,242.35","$62,908","$5,415.29","$21,661","$5,180","$20,721","$3,286.70","$9,860","$3,599.07","$10,797","$3,901.40","$7,803"
"SENIOR STAFF OFFICER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0",NA,NA
"SENIOR STUDENT LEGAL SPECIALIST","$0.00","$0","$46.29","$139","$264.50","$1,058","$0","$0","$26.42","$53","$0.00","$0","$0.00","$0"
"SENIOR SYSTEMS ANALYST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0",NA,NA
"SENIOR SYSTEMS ANALYSTS","$87,921.72","$87,922","$87,854.32","$87,854","$20,912.47","$20,912","$106,196","$212,391","$61,695.40","$123,391","$80,182.68","$160,365","$85,565.36","$171,131"
"SENIOR TITLE EXAMINER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SENIOR VICE PRESIDENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SENIOR VOTING MACHINE TECHNICIAN",NA,NA,NA,NA,NA,NA,NA,NA,"$10,097.26","$353,404","$19,009.82","$931,481","$13,609.56","$680,478"
"SERGEANT","$17,058.25","$63,473,742","$21,644.62","$79,002,853","$20,445.23","$73,807,276","$21,411","$78,792,979",NA,NA,NA,NA,NA,NA
"SERGEANT-",NA,NA,NA,NA,NA,NA,NA,NA,"$19,763.68","$70,694,667","$20,015.92","$70,556,110","$23,563.34","$82,707,307"
